Season,Champion,ChampionID,RunnerUp,RunnerUpID,FinalsMVP,TopPerformer_Points,TopPerformer_Rebounds,TopPerformer_Assists
2020,Los Angeles Lakers,LAL,Miami Heat,MIA,LeBron James,Anthony Davis,LeBron James,LeBron James
2019,Toronto Raptors,TOR,Golden State Warriors,GSW,Kawhi Leonard,Kawhi Leonard,Draymond Green,Draymond Green
2018,Golden State Warriors,GSW,Cleveland Cavaliers,CLE,Kevin Durant,LeBron James,Draymond Green,LeBron James
2017,Golden State Warriors,GSW,Cleveland Cavaliers,CLE,Kevin Durant,LeBron James,Kevin Love,LeBron James
2016,Cleveland Cavaliers,CLE,Golden State Warriors,GSW,LeBron James,Klay Thompson ,Draymond Green,Russell Westbrook 
2015,Golden State Warriors,GSW,Cleveland Cavaliers,CLE,Andre Iguodala,LeBron James,Dwight Howard ,LeBron James
2014,San Antonio Spurs,SAS,Miami Heat,MIA,Kawhi Leonard,Kevin Durant,Tim Duncan ,Russell Westbrook 
2013,Miami Heat,MIA,San Antonio Spurs,SAS,LeBron James,LeBron James,Tim Duncan ,LeBron James
2012,Miami Heat,MIA,Oklahoma City Thunder,OKC,LeBron James,LeBron James,LeBron James,Rajon Rondo 
2011,Dallas Mavericks,DAL,Miami Heat,MIA,Dirk Nowitzki,Dirk Nowitzki ,Tyson Chandler ,Jason Kidd 
2010,Los Angeles Lakers,LAL,Boston Celtics,BOS,Kobe Bryant,Kobe Bryant ,Pau Gasol ,Rajon Rondo 
2009,Los Angeles Lakers,LAL,Orlando Magic,ORL,Kobe Bryant,Kobe Bryant ,Dwight Howard ,Rajon Rondo 
2008,Boston Celtics,BOS,Los Angeles Lakers,LAL,Paul Pierce,Kobe Bryant ,Kevin Garnett ,Rajon Rondo 
2007,San Antonio Spurs,SAS,Cleveland Cavaliers,CLE,Tony Parker,LeBron James,Tim Duncan,LeBron James 
2006,Miami Heat,MIA,Dallas Mavericks,DAL,Dwyane Wade,Dwyane Wade ,Dirk Nowitzki ,Steve Nash 
2005,San Antonio Spurs,SAS,Detroit Pistons,DET,Tim Duncan,Tim Duncan,Tim Duncan,Steve Nash 
2004,Detroit Pistons,DET,Los Angeles Lakers,LAL,Chauncey Billups,Kobe Bryant ,Ben Wallace ,Chauncey Billups 
2003,San Antonio Spurs,SAS,New Jersey Nets,NJN,Tim Duncan,Tim Duncan,Tim Duncan,Jason Kidd 
2002,Los Angeles Lakers,LAL,New Jersey Nets,NJN,Shaquille O'Neal,Shaquille O'Neal,Shaquille O'Neal,Jason Kidd 