PlayerID,PlayerName,TeamID,Age,Pos
barrerj01,RJ Barrett,NYK,20,SG
robindu01,Duncan Robinson,MIA,26,SF
bogdabo02,Bojan Bogdanovic,UTA,31,SF
bridgmi01,Mikal Bridges,PHO,24,SF
jokicni01,Nikola Jokic,DEN,25,C
onealro01,Royce O'Neale,UTA,27,SF
randlju01,Julius Randle,NYK,26,PF
goberru01,Rudy Gobert,UTA,28,C
covinro01,Robert Covington,POR,30,PF
lopezbr01,Brook Lopez,MIL,32,C
paulch01,Chris Paul,PHO,35,PG
greenda02,Danny Green,PHI,33,SF
aytonde01,Deandre Ayton,PHO,22,C
anderky01,Kyle Anderson,MEM,27,PF
middlkh01,Khris Middleton,MIL,29,SF
lillada01,Damian Lillard,POR,30,PG
brookdi01,Dillon Brooks,MEM,25,SF
caldwke01,Kentavious Caldwell-Pope,LAL,27,SG
bookede01,Devin Booker,PHO,24,SG
divindo01,Donte DiVincenzo,MIL,24,SG
doncilu01,Luka Doncic,DAL,21,PG
westbru01,Russell Westbrook,WAS,32,PG
harrijo01,Joe Harris,BRK,29,SF
tatumja01,Jayson Tatum,BOS,22,SF
bullore01,Reggie Bullock,NYK,29,SF
adebaba01,Bam Adebayo,MIA,23,C
collijo01,John Collins,ATL,23,PF
paytoel01,Elfrid Payton,NYK,26,PG
moranja01,Ja Morant,MEM,21,PG
capelca01,Clint Capela,ATL,26,C
youngtr01,Trae Young,ATL,22,PG
harrito02,Tobias Harris,PHI,28,PF
antetgi01,Giannis Antetokounmpo,MIL,26,PF
schrode01,Dennis Schroder,LAL,27,SG
valanjo01,Jonas Valanciunas,MEM,28,C
finnedo01,Dorian Finney-Smith,DAL,27,PF
bealbr01,Bradley Beal,WAS,27,SG
simmobe01,Ben Simmons,PHI,24,PG
hachiru01,Rui Hachimura,WAS,22,PF
curryse01,Seth Curry,PHI,30,SG
holidjr01,Jrue Holiday,MIL,30,PG
richajo01,Josh Richardson,DAL,27,SG
irvinky01,Kyrie Irving,BRK,28,PG
portemi01,Michael Porter,DEN,22,SF
georgpa01,Paul George,LAC,30,SF
mitchdo01,Donovan Mitchell,UTA,24,PG
butleji01,Jimmy Butler,MIA,31,SF
leonaka01,Kawhi Leonard,LAC,29,SF
bartowi01,Will Barton,DEN,30,SF
embiijo01,Joel Embiid,PHI,26,C
conlemi01,Mike Conley,UTA,33,PG
huertke01,Kevin Huerter,ATL,22,SG
mccolcj01,CJ McCollum,POR,29,SG
jamesle01,LeBron James,LAL,36,PG
smartma01,Marcus Smart,BOS,26,PG
nunnke01,Kendrick Nunn,MIA,25,PG
walkeke02,Kemba Walker,BOS,30,PG
jacksre01,Reggie Jackson,LAC,30,SG
jonesde02,Derrick Jones,POR,23,SF
porzikr01,Kristaps Porzingis,DAL,25,C
thomptr01,Tristan Thompson,BOS,29,PF
powelno01,Norman Powell,POR,27,SF
crowdja01,Jae Crowder,PHO,30,PF
gasolma01,Marc Gasol,LAL,36,C
noelne01,Nerlens Noel,NYK,26,C
lenal01,Alex Len,TOR,27,C
klebima01,Maxi Kleber,DAL,29,PF
hardeja01,James Harden,HOU,31,SG
ibakase01,Serge Ibaka,LAC,31,C
greenje02,Jeff Green,BRK,34,C
allengr01,Grayson Allen,MEM,25,SG
batumni01,Nicolas Batum,LAC,32,SF
gordoaa01,Aaron Gordon,DEN,25,PF
brownbr01,Bruce Brown,BRK,24,PG
nurkiju01,Jusuf Nurkic,POR,26,C
millspa01,Paul Millsap,DEN,35,PF
davisan02,Anthony Davis,LAL,27,PF
hieldbu01,Buddy Hield,SAC,28,SG
wiggian01,Andrew Wiggins,GSW,25,PF
willipa01,Patrick Williams,CHI,19,PF
vucevni01,Nikola Vucevic,CHI,30,C
kanteen01,Enes Kanter,POR,28,C
bledser01,Eric Bledsoe,NOP,31,SG
roziete01,Terry Rozier,CHO,26,SG
beverpa01,Patrick Beverley,LAC,32,PG
okorois01,Isaac Okoro,CLE,20,SG
murrade01,Dejounte Murray,SAS,24,PG
drumman01,Andre Drummond,CLE,27,C
johnske04,Keldon Johnson,SAS,21,SF
zubaciv01,Ivica Zubac,LAC,23,C
duranke01,Kevin Durant,BRK,32,PF
kuzmaky01,Kyle Kuzma,LAL,25,SF
greendr01,Draymond Green,GSW,30,PF
curryst01,Stephen Curry,GSW,32,PG
sabondo01,Domantas Sabonis,IND,24,PF
hardati02,Tim Hardaway,DAL,28,SG
olynyke01,Kelly Olynyk,HOU,29,PF
holmeri01,Richaun Holmes,SAC,27,C
washipj01,P.J. Washington,CHO,22,PF
derozde01,DeMar DeRozan,SAS,31,PF
willizi01,Zion Williamson,NOP,20,PF
ingrabr01,Brandon Ingram,NOP,23,SF
inglejo01,Joe Ingles,UTA,33,SF
sextoco01,Collin Sexton,CLE,22,SG
morrima03,Marcus Morris,LAC,31,PF
foxde01,De'Aaron Fox,SAC,23,PG
lavinza01,Zach LaVine,CHI,25,SG
barneha02,Harrison Barnes,SAC,28,PF
adamsst01,Steven Adams,NOP,27,C
tateja01,Jae'Sean Tate,HOU,25,SF
brownja02,Jaylen Brown,BOS,24,SG
brogdma01,Malcolm Brogdon,IND,28,PG
plumlma01,Mason Plumlee,DET,30,C
siakapa01,Pascal Siakam,TOR,26,PF
balllo01,Lonzo Ball,NOP,23,PG
bazleda01,Darius Bazley,OKC,20,PF
edwaran01,Anthony Edwards,MIN,19,SG
bogdabo01,Bogdan Bogdanovic,ATL,28,SG
morrima02,Markieff Morris,LAL,31,PF
grantje01,Jerami Grant,DET,26,SF
arizatr01,Trevor Ariza,MIA,35,SF
whiteco01,Coby White,CHI,20,PG
beysa01,Saddiq Bey,DET,21,SF
vanvlfr01,Fred VanVleet,TOR,26,SG
holidju01,Justin Holiday,IND,31,SG
dortlu01,Luguentz Dort,OKC,21,SG
poeltja01,Jakob Poeltl,SAS,25,C
theisda01,Daniel Theis,CHI,28,C
rubiori01,Ricky Rubio,MIN,30,PG
bacondw01,Dwayne Bacon,ORL,25,SG
townska01,Karl-Anthony Towns,MIN,25,C
garlada01,Darius Garland,CLE,21,PG
oubreke01,Kelly Oubre,GSW,25,SF
maledth01,Theo Maledon,OKC,19,PG
murraja01,Jamal Murray,DEN,23,PG
mathega01,Garrison Mathews,WAS,24,SG
turnemy01,Myles Turner,IND,24,C
snellto01,Tony Snell,ATL,29,SG
lowryky01,Kyle Lowry,TOR,34,PG
fournev01,Evan Fournier,BOS,28,SG
allenja01,Jarrett Allen,CLE,22,C
cartewe01,Wendell Carter,CHI,21,C
grahade01,Devonte' Graham,CHO,25,PG
haywago01,Gordon Hayward,CHO,30,SF
netora01,Raul Neto,WAS,28,PG
anunoog01,OG Anunoby,TOR,23,SF
jordade01,DeAndre Jordan,BRK,32,C
reddica01,Cam Reddish,ATL,21,SF
baglema01,Marvin Bagley,SAC,21,PF
woodch01,Christian Wood,HOU,25,C
walljo01,John Wall,HOU,30,PG
griffbl01,Blake Griffin,DET,31,PF
leverca01,Caris LeVert,IND,26,SG
wrighde01,Delon Wright,SAC,28,PG
harriga01,Gary Harris,DEN,26,SG
huntede01,De'Andre Hunter,ATL,23,SF
poweldw01,Dwight Powell,DAL,29,C
campafa01,Facundo Campazzo,DEN,29,PG
walkelo01,Lonnie Walker,SAS,22,SG
trentga02,Gary Trent,POR,22,SG
ennisja01,James Ennis,ORL,30,SF
okogijo01,Josh Okogie,MIN,22,SG
biyombi01,Bismack Biyombo,CHO,28,C
beaslma01,Malik Beasley,MIN,24,SG
gilgesh01,Shai Gilgeous-Alexander,OKC,22,SG
anthoco01,Cole Anthony,ORL,20,PG
banede01,Desmond Bane,MEM,22,SG
looneke01,Kevon Looney,GSW,24,C
tuckepj01,P.J. Tucker,HOU,35,PF
robyis01,Isaiah Roby,OKC,22,PF
kennalu01,Luke Kennard,LAC,24,SG
oladivi01,Victor Oladipo,HOU,28,SG
hillso01,Solomon Hill,ATL,29,PF
whitede01,Derrick White,SAS,26,SG
avdijde01,Deni Avdija,WAS,20,SF
clarkbr01,Brandon Clarke,MEM,24,PF
caulewi01,Willie Cauley-Stein,DAL,27,C
brownmo01,Moses Brown,OKC,21,C
ellinwa01,Wayne Ellington,DET,33,SG
baynear01,Aron Baynes,TOR,34,C
ballla01,LaMelo Ball,CHO,19,PG
herroty01,Tyler Herro,MIA,21,SG
ojelese01,Semi Ojeleye,BOS,26,PF
vandeja01,Jarred Vanderbilt,MIN,21,PF
mcderdo01,Doug McDermott,IND,29,PF
robinmi01,Mitchell Robinson,NYK,22,C
horfoal01,Al Horford,OKC,34,C
pokusal01,Aleksej Pokusevski,OKC,19,PF
mcdanja02,Jaden McDaniels,MIN,20,PF
nancela02,Larry Nance,CLE,28,PF
wisemja01,James Wiseman,GSW,19,C
morrimo01,Monte Morris,DEN,25,PG
kaminfr01,Frank Kaminsky,PHO,27,C
markkla01,Lauri Markkanen,CHI,23,PF
russeda01,D'Angelo Russell,MIN,24,PG
osmande01,Cedi Osman,CLE,25,SF
williro04,Robert Williams,BOS,23,C
cartemi01,Michael Carter-Williams,ORL,29,SG
jacksjo02,Josh Jackson,DET,23,SG
loveke01,Kevin Love,CLE,32,PF
